STFIPS,NAME,YEAR,AdmAlc,AdmCoc,AdmMar,AdmHer,AdmOpi,AdmBen,AdmNMJ,RatAlc,RatCoc,RatMar,RatHer,RatOpi,RatBen,RatNMJ,lRatAlc,lRatCoc,lRatMar,lRatHer,lRatOpi,lRatBen,lRatNMJ,P017,P1824,P2565,P65
39,Ohio,2011,28568,6569,20403,11759,9584,506,63314,247.6789633966073,56.95194310250327,176.8900129578892,101.94822635748758,83.09140245005196,4.386920872258586,548.9199764944271,5.516162760969605,4.05961409989667,5.181165454579321,4.634226205131973,4.4319043316704345,1.6839739549435129,6.309772770357901,0.233593912965224,0.0961450062882089,0.527682597778484,0.142578482968083
39,Ohio,2012,23703,4747,17300,12951,8123,365,56814,205.44755418773502,41.14498332401713,149.9490649895716,112.2537769179157,70.40671993701099,3.1636652439996324,492.4396634865619,5.33004640526621,3.7411156577681983,5.0169424619605705,4.729631114075607,4.2683919816816935,1.426395754629502,6.201400588960297,0.231304580267864,0.0965968409632416,0.524421458803315,0.147677119965579
39,Ohio,2013,17860,3538,13171,12490,6596,280,46110,154.4164932723345,30.58933668519146,113.87567933314209,107.98779400736046,57.02862203943551,2.420863276385983,398.6643059791346,5.046108566615306,3.4528196169737706,4.743850494330984,4.691235894374889,4.060936372262055,1.2298929392178481,5.990624959700929,0.229449334876461,0.0966741488633788,0.522458348615033,0.151418167645128
39,Ohio,2014,16046,3010,11352,14524,5662,240,43922,138.41261450784336,25.96422595466836,97.92222360046352,125.28385972279177,48.84034795858214,2.0702372854220616,378.87067520961585,4.937437985680263,3.294511022820655,4.5943339211759815,4.838532228021491,3.90882485596731,1.1217548502806827,5.9398308663998325,0.227949341983705,0.0957215613660599,0.521061472763354,0.155267623886881
40,Oklahoma,2010,4961,630,2930,185,1619,171,11014,132.81460409147155,16.866196447818396,78.44119935255223,4.952771972772069,43.34344769685394,4.577967607264993,294.863948692495,4.896455290403552,2.882910460843197,4.375017117212983,1.7838569888469986,3.7919649570709235,1.7188244819573475,5.689899715864903,0.249385722416674,0.099452196648071,0.514864473418607,0.136297607516648
40,Oklahoma,2011,4535,592,2843,227,1492,174,10650,120.4804873415788,15.727552041061664,75.52944333232821,6.030666069798983,39.63768183321622,4.622625093149881,282.9365358738289,4.799753651871664,2.8170571827781505,4.337675546946273,1.9502814481052186,3.7046957601377914,1.7267986532743347,5.648750747956134,0.248720608805038,0.0998500303525814,0.514413956077092,0.137015404765289
40,Oklahoma,2012,4325,444,2650,242,1537,172,10504,113.91147511277894,11.694033514467943,69.79547030031543,6.373775023651446,40.481372774182944,4.530121091190284,276.6534415224578,4.744162050301227,2.5411320810626066,4.259795019843839,1.9979297899420625,3.7252444776590017,1.7102097124356048,5.626373722793429,0.247788668797579,0.100658763887982,0.51096289304068,0.140589674273758
40,Oklahoma,2013,4203,321,2491,319,1402,148,10332,109.68242982986305,8.37688793133144,65.00569419609538,8.32469548316115,36.58690616737283,3.862241164601411,269.62618724771477,4.706665108326673,2.238247930924397,4.189741014003307,2.232666309035391,3.626655749516693,1.5814994765974473,5.600738485805661,0.247674304509532,0.100500473385505,0.508925691523842,0.142899530581121
40,Oklahoma,2014,4525,336,2833,359,1588,154,11528,117.27826308948526,8.708396994047966,73.42526394088657,9.304507502569107,41.15754293615527,3.9913486222719845,298.78095401007425,4.7730400101409565,2.2729911805230847,4.309795453296446,2.3325814211158327,3.741413623031832,1.607706138232791,5.7030520546647026,0.247459986082116,0.0995608220623091,0.507544815199263,0.145434376656312
42,Pennsylvania,2010,24300,6042,10169,12283,7080,472,51984,191.3218457818375,47.57064165489145,80.06386212985619,96.70807538017738,55.7431550673008,3.716210337820054,409.28703008736795,5.259170248752105,3.8830192672008295,4.395237265387837,4.58198421049665,4.038535033532701,1.5510055825753717,6.016856988145116,0.219384272761651,0.0992787166414025,0.526795805500794,0.154541205096153
42,Pennsylvania,2011,19455,4833,8424,10724,6371,423,43552,152.7346089558299,37.94224441447062,66.13396791795996,84.19048812348085,50.01656096929284,3.320829585624058,341.9119860829763,5.035227797323526,3.6620796360455325,4.2066901441728675,4.444889785859684,3.932150304900705,1.463447417529179,5.837473813897263,0.216976724595909,0.0996507162432766,0.528064346529431,0.155308212631384
42,Pennsylvania,2012,14743,3043,6093,11260,5305,394,36530,115.54219210098307,23.848259551196602,47.75137872015804,88.24561371885433,41.57575317748866,3.0878127713346903,286.2888338498889,4.7582533713971555,3.2127877119086263,3.886733478483083,4.491392273444809,3.751284916996824,1.4080100522769077,5.660488099409861,0.214743271487474,0.0993531972694644,0.525928418700515,0.159975112542547
42,Pennsylvania,2013,14354,2615,5908,15114,5105,468,39198,112.42148548929507,20.480854434617985,46.27185009549639,118.37385618539817,39.98270053106112,3.6654072181266604,307.001350718224,4.731110839743061,3.067162046997485,3.855914982932752,4.78226021706199,3.713150039396508,1.5401751226924927,5.730104168412738,0.21288011565143,0.0984771172856688,0.525158869557086,0.163483897505816
